Number,Date.Received.at.MDU,Farm,Batch,MDU.ID,Serotype,o_antigen,Phage.type,R.type,MLVA.Aus,SARDI.ID,Date.collected,Shed.and.pen,Type.of.shelter,Number.in.pen,age,Sample.type..i.,Sample.type.ii,Sample.type.iii,Indication,age2,
51,2/26/13,VIC2,1,13-04385,nt,,nt,nt,nt,FS13-0458.8,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
52,2/26/13,VIC2,1,13-04386,nt,,nt,nt,nt,FS13-0458.9,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
53,2/26/13,VIC2,1,13-04387,nt,,nt,nt,nt,FS13-0458.10,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
54,2/26/13,VIC2,1,13-04388,mSTm,,193,TTm,04-15-11-00-490,FS13-0459.1,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
55,2/26/13,VIC2,1,13-04389,No growth,,n.a,n/a,n/a,FS13-0459.2,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
56,2/26/13,VIC2,1,13-04390,nt,,nt,nt,nt,FS13-0459.3,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
57,2/26/13,VIC2,1,13-04391,nt,,nt,nt,nt,FS13-0459.4,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
58,2/26/13,VIC2,1,13-04392,nt,,nt,nt,nt,FS13-0459.5,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
59,2/26/13,VIC2,1,13-04393,nt,,nt,nt,nt,FS13-0459.6,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
60,2/26/13,VIC2,1,13-04394,nt,,nt,nt,nt,FS13-0459.7,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
61,2/26/13,VIC2,1,13-04395,No growth,,n.a,n/a,n/a,FS13-0459.8,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
62,2/26/13,VIC2,1,13-04396,nt,,nt,nt,nt,FS13-0459.9,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
63,2/26/13,VIC2,1,13-04397,nt,,nt,nt,nt,FS13-0459.10,1/10/13,pig 3,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
64,2/26/13,VIC2,1,13-04398,mSTm,,193,TTm,04-15-11-00-490,FS13-0460.1,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
65,2/26/13,VIC2,1,13-04399,nt,,nt,nt,nt,FS13-0460.2,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
66,2/26/13,VIC2,1,13-04400,nt,,nt,nt,nt,FS13-0460.3,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
67,2/26/13,VIC2,1,13-04401,nt,,nt,nt,nt,FS13-0460.4,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
68,2/26/13,VIC2,1,13-04402,nt,,nt,nt,nt,FS13-0460.5,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
69,2/26/13,VIC2,1,13-04403,nt,,nt,nt,nt,FS13-0460.6,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
70,2/26/13,VIC2,1,13-04404,nt,,nt,nt,nt,FS13-0460.7,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
71,2/26/13,VIC2,1,13-04405,nt,,nt,nt,nt,FS13-0460.8,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
72,2/26/13,VIC2,1,13-04406,nt,,nt,nt,nt,FS13-0460.9,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
73,2/26/13,VIC2,1,13-04407,nt,,nt,nt,nt,FS13-0460.10,1/10/13,pig 2,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
74,2/26/13,VIC2,1,13-04408,mSTm,,193,ASTSuTm,04-15-11-00-490,FS13-0461.1,1/10/13,pig 1,conventional,,,caecum,caecum,caecum,"Vet isolation, historic clinical indications matching case definition",,
75,2/26/13,VIC2,1,13-04409,nt,,nt,nt,nt,FS13-0461.2,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
76,2/26/13,VIC2,1,13-04410,nt,,nt,nt,nt,FS13-0461.3,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
77,2/26/13,VIC2,1,13-04411,No growth,,n.a,n/a,n/a,FS13-0461.4,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
78,2/26/13,VIC2,1,13-04412,nt,,nt,nt,nt,FS13-0461.5,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
79,2/26/13,VIC2,1,13-04413,nt,,nt,nt,nt,FS13-0461.6,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
80,2/26/13,VIC2,1,13-04414,nt,,nt,nt,nt,FS13-0461.7,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
81,2/26/13,VIC2,1,13-04415,nt,,nt,nt,nt,FS13-0461.8,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
82,2/26/13,VIC2,1,13-04416,nt,,nt,nt,nt,FS13-0461.9,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
83,2/26/13,VIC2,1,13-04417,nt,,nt,nt,nt,FS13-0461.10,1/10/13,pig 1,conventional,,,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",,
84,2/26/13,VIC2,1,13-04418,S. Adelaide,,n.a,sensitive,n/a,FS13-0462.1,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
85,2/26/13,VIC2,1,13-04419,H=poly3,,n.a,nt,n/a,FS13-0462.2,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
86,2/26/13,VIC2,1,13-04420,H=poly3,,n.a,nt,n/a,FS13-0462.3,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
87,2/26/13,VIC2,1,13-04421,H=poly3,,n.a,nt,n/a,FS13-0462.4,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
88,2/26/13,VIC2,1,13-04422,H=poly3,,n.a,nt,n/a,FS13-0462.5,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
89,2/26/13,VIC2,1,13-04423,H=poly3,,n.a,nt,n/a,FS13-0462.6,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
90,2/26/13,VIC2,1,13-04424,H=poly3,,n.a,nt,n/a,FS13-0462.7,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
91,2/26/13,VIC2,1,13-04425,H=poly3,,n.a,nt,n/a,FS13-0462.8,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
92,2/26/13,VIC2,1,13-04426,H=poly3,,n.a,nt,n/a,FS13-0462.9,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
93,2/26/13,VIC2,1,13-04427,H=poly3,,n.a,nt,n/a,FS13-0462.10,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
94,2/26/13,VIC2,1,13-04428,S. London,,n.a,sensitive,NA,FS13-0463.1,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
95,2/26/13,VIC2,1,13-04429,No growth,,n.a,n/a,n/a,FS13-0463.2,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
96,2/26/13,VIC2,1,13-04430,No growth,,n.a,n/a,n/a,FS13-0463.3,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
97,2/26/13,VIC2,1,13-04431,"H=l,v",,nt,nt,nt,FS13-0463.4,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
98,2/26/13,VIC2,1,13-04432,"H=l,v",,nt,nt,nt,FS13-0463.5,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
99,2/26/13,VIC2,1,13-04433,S. Bm,,nt,sensitive,nt,FS13-0463.6,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
100,2/26/13,VIC2,1,13-04434,"H=l,v",,nt,nt,nt,FS13-0463.7,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
101,2/26/13,VIC2,1,13-04435,"H=l,v",,nt,nt,nt,FS13-0463.8,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
102,2/26/13,VIC2,1,13-04436,"H=l,v",,nt,nt,nt,FS13-0463.9,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
103,2/26/13,VIC2,1,13-04437,"H=l,v",,nt,nt,nt,FS13-0463.10,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
104,2/26/13,VIC2,1,13-04438,S. Bm,,4,sensitive,n/a,FS13-0464.1,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
105,2/26/13,VIC2,1,13-04439,S. Adelaide,,n.a,sensitive,nt,FS13-0464.2,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
106,2/26/13,VIC2,1,13-04440,H=poly3,,n.a,nt,nt,FS13-0464.3,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
107,2/26/13,VIC2,1,13-04441,H=poly3,,n.a,nt,nt,FS13-0464.4,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
108,2/26/13,VIC2,1,13-04442,H=poly3,,n.a,nt,nt,FS13-0464.5,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
109,2/26/13,VIC2,1,13-04443,H=r,,n.a,nt,nt,FS13-0464.6,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
110,2/26/13,VIC2,1,13-04444,H=poly3,,n.a,nt,nt,FS13-0464.7,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
111,2/26/13,VIC2,1,13-04445,H=r,,n.a,nt,nt,FS13-0464.8,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
112,2/26/13,VIC2,1,13-04446,No growth,,n.a,n/a,n/a,FS13-0464.9,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
113,2/26/13,VIC2,1,13-04447,H=poly3,,n.a,nt,nt,FS13-0464.10,1/10/13,,conventional,,12wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",12,
114,2/26/13,VIC2,1,13-04448,S. Derby,,n.a,T,n/a,FS13-0465.1,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
115,2/26/13,VIC2,1,13-04449,No growth,,n.a,n/a,n/a,FS13-0465.2,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
116,2/26/13,VIC2,1,13-04450,No growth,,n.a,n/a,n/a,FS13-0465.3,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
117,2/26/13,VIC2,1,13-04451,mSTm,,193,T,04-15-11-00-492,FS13-0465.4,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
118,2/26/13,VIC2,1,13-04452,H=poly3,,n.a,nt,nt,FS13-0465.5,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
119,2/26/13,VIC2,1,13-04453,H=i,,nt,nt,nt,FS13-0465.6,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
120,2/26/13,VIC2,1,13-04454,No growth,,n.a,n/a,n/a,FS13-0465.7,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
121,2/26/13,VIC2,1,13-04455,H=i,,nt,nt,nt,FS13-0465.8,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
122,2/26/13,VIC2,1,13-04456,No growth,,n.a,n/a,n/a,FS13-0465.9,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
123,2/26/13,VIC2,1,13-04457,H=i,,nt,nt,nt,FS13-0465.10,1/10/13,,conventional,,15wk,faecal,pooled,3,"Vet isolation, historic clinical indications matching case definition",15,
124,7/2/13,VIC2,2,13-12739,S. Adelaide,,n.a,sensitive,n/a,FS13-0909.1,3/12/13,NA,conventional,,20wk,faecal,individual,1,Previous study isolation mSTm,20,
125,7/2/13,VIC2,2,13-12740,H=poly3,,n.a,nt,n/a,FS13-0909.2,3/12/13,NA,conventional,,20wk,faecal,individual,1,Previous study isolation mSTm,20,
126,7/2/13,VIC2,2,13-12741,H=poly3,,n.a,nt,n/a,FS13-0909.3,3/12/13,NA,conventional,,20wk,faecal,individual,1,Previous study isolation mSTm,20,
127,7/2/13,VIC2,2,13-12742,H=poly3,,n.a,nt,n/a,FS13-0909.4,3/12/13,NA,conventional,,20wk,faecal,individual,1,Previous study isolation mSTm,20,
128,7/2/13,VIC2,2,13-12743,H=poly3,,n.a,nt,n/a,FS13-0909.5,3/12/13,NA,conventional,,20wk,faecal,individual,1,Previous study isolation mSTm,20,
129,7/2/13,VIC2,2,13-12744,mSTm,,120,ATTm,04-15-11-00-490,FS13-0910.1,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
130,7/2/13,VIC2,2,13-12745,nt,,nt,nt,nt,FS13-0910.2,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
131,7/2/13,VIC2,2,13-12746,nt,,nt,nt,nt,FS13-0910.3,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
132,7/2/13,VIC2,2,13-12747,nt,,nt,nt,nt,FS13-0910.4,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
133,7/2/13,VIC2,2,13-12748,nt,,nt,nt,nt,FS13-0910.5,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
134,7/2/13,VIC2,2,13-12749,mSTm,,120,ATTm,04-15-11-00-490,FS13-0911.1,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
135,7/2/13,VIC2,2,13-12750,nt,,nt,nt,nt,FS13-0911.2,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
136,7/2/13,VIC2,2,13-12751,nt,,nt,nt,nt,FS13-0911.3,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
137,7/2/13,VIC2,2,13-12752,nt,,nt,nt,nt,FS13-0911.4,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
138,7/2/13,VIC2,2,13-12753,nt,,nt,nt,nt,FS13-0911.5,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
139,7/2/13,VIC2,2,13-12754,mSTm,,193,AT,04-15-11-00-490,FS13-0912.1,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
140,7/2/13,VIC2,2,13-12755,nt,,nt,nt,nt,FS13-0912.2,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
141,7/2/13,VIC2,2,13-12756,nt,,nt,nt,nt,FS13-0912.3,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
142,7/2/13,VIC2,2,13-12757,nt,,nt,nt,nt,FS13-0912.4,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
143,7/2/13,VIC2,2,13-12758,nt,,nt,nt,nt,FS13-0912.5,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
144,7/2/13,VIC2,2,13-12759,mSTm,,120,ATTm,04-15-11-00-490,FS13-0913.1,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
145,7/2/13,VIC2,2,13-12760,nt,,nt,nt,nt,FS13-0913.2,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
146,7/2/13,VIC2,2,13-12761,nt,,nt,nt,nt,FS13-0913.3,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
147,7/2/13,VIC2,2,13-12762,nt,,nt,nt,nt,FS13-0913.4,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
148,7/2/13,VIC2,2,13-12763,nt,,nt,nt,nt,FS13-0913.5,3/12/13,NA,conventional,,9wk,faecal,individual,1,Previous study isolation mSTm,9,
